年度	省份	学校	录取批次	文/理（选科要求）	专业	录取最低分	省内排名	本一线
2022	广东	北京工业大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学+070102.信息与计算科学）（第一学年通州校区，第二至四学年平乐园校区）	606	18092	437
2022	广东	北京工业大学	本科批	首选物理，再选不限	统计学（第一学年通州校区，第二至四学年平乐园校区）	604	19372	437
2022	广东	北京工业大学	本科批	首选物理，再选不限	国际经济与贸易（第一学年通州校区，第二至四学年平乐园校区）	603	20040	437
2022	广东		本科批	首选物理，再选不限	会计学（第一学年通州校区，第二至四学年平乐园校区）	603	20040	437
2022	广东	北京大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	北京大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学(数学)+070101.数学与应用数学(概率统计)+070101.数学与应用数学(科学与工程计算)+070101.数学与应用数学(信息科学)+070101.数学与应用数学(金融)）	696	13	437
2022	广东	北京大学	本科批	首选物理，再选不限	理科试验班类（0701.数学类+0702.物理学类+070401.天文学+0708.地球物理学类+0711.心理学类+0809.计算机类+0807.电子信息类）	689	41	437
2022	广东	北京大学	本科批	首选物理，再选不限	心理学类（071101.心理学）	687	53	437
2022	广东	北京大学	本科批	首选物理，再选不限	工商管理类（020301.金融学+020301.金融学(金融经济学)+120203.会计学+120202.市场营销）	686	63	437
2022	广东	北京大学	本科批	首选物理，再选不限	物理学类（070201.物理学+070601.大气科学(大气与海洋)）	686	63	437
2022	广东	北京大学	本科批	首选物理，再选不限	法学	685	73	437
2022	广东	北京大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080907.智能科学与技术）	685	73	437
2022	广东	北京大学	本科批	首选物理，再选不限	电子信息类（080714.电子信息科学与技术+080704.微电子科学与工程）	684	86	437
2022	广东	北京大学	本科批	首选物理，再选不限	经济学类（020101.经济学+020301.金融学+020401.国际经济与贸易+020303.保险学(风险管理与保险)+020201.财政学+020104.资源与环境经济学）	684	86	437
2022	广东	北京大学	本科批	首选物理，再选不限	地球物理学类（070801.地球物理学+070802.空间科学与技术+070802.空间科学与技术(遥感与地理信息系统)）	683	97	437
2022	广东	北京大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	北京大学	本科批	首选物理，再选不限	工科试验班类（080101.理论与应用力学+080102.工程力学+082001.航空航天工程+082601.生物医学工程+080401.材料科学与工程）	683	97	437
2022	广东	内蒙古大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	物理学（数理基地）（北校区）	583	35597	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	数理基础科学（数理基地，数学）（北校区）	583	35597	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	软件工程（北校区）	580	38301	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	电子信息类（080703.通信工程+080714.电子信息科学与技术+080801.自动化）（矫正视力≥4.8）（北校区）	577	41134	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	数据科学与大数据技术（北校区）	577	41134	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	化学（基地）（南校区）	577	41134	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	经济学（北校区）	576	42116	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	物理学类（070201.物理学+070202.应用物理学）（北校区）	576	42116	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学+070102.信息与计算科学+071201.统计学）（北校区）	575	43102	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	会计学（北校区）	574	44054	437
2022	广东	内蒙古大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	食品科学与工程（南校区）	572	46090	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	物流管理（南校区）	571	47104	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学/生物(2选1)	生物技术（矫正视力≥4.8,不招色盲色弱）（南校区）	568	50326	437
2022	广东	内蒙古大学	本科批	首选物理，再选不限	生物工程（南校区）	567	51402	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	生态学（矫正视力≥4.8,不招色盲色弱）（南校区）	566	52473	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学/生物(2选1)	园艺（南校区）	565	53575	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	机械工程（南校区）	562	56910	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	大气科学（矫正视力≥4.8）（南校区）	561	58058	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	材料化学（培养稀土材料人才）（南校区）	560	59174	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	环境科学（矫正视力≥4.8）（南校区）	558	61483	437
2022	广东	内蒙古大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	环境工程（南校区）	558	61483	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	化学工程与工艺（南校区）	558	61483	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	土木工程（培养公路与桥梁人才）（南校区）	554	66270	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	道路桥梁与渡河工程（南校区）	552	68741	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	交通运输（矫正视力≥4.8,不招色盲）（南校区）	551	69968	437
2022	广东	内蒙古大学	本科批	首选物理，再选化学	工程管理（南校区）	551	69968	437
2022	广东	大连海事大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080902.软件工程+080910.数据科学与大数据技术+080903.网络工程+080907.智能科学与技术+080905.物联网工程+080717.人工智能）	594	26492	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	法学	591	28817	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	电子信息类（080701.电子信息工程+080714.电子信息科学与技术+080703.通信工程+080705.光电信息科学与工程）	591	28817	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	自动化类（080801.自动化+080601.电气工程及其自动化+080301.测控技术与仪器）	590	29634	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学+071201.统计学）	588	31286	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	英语（英语）	588	31286	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	海事管理（请非英语语种的考生慎重报考）	587	32105	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	交通运输类（081801.交通运输+120407.交通管理+120602.物流工程+080401.材料科学与工程+081001.土木工程+081802.交通工程）	585	33870	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	物流管理	584	34723	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	机械类（080202.机械设计制造及其自动化+081901.船舶与海洋工程+081804.轮机工程(陆上专业)+080501.能源与动力工程+081807.救助与打捞工程(海洋智能装备)）	584	34723	437
2022	广东	大连海事大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	环境科学与工程类（082502.环境工程+070701.海洋科学+070703.海洋资源与环境）	584	34723	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	物流管理	584	34723	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	机械类（080202.机械设计制造及其自动化+081901.船舶与海洋工程+081804.轮机工程(陆上专业)+080501.能源与动力工程+081807.救助与打捞工程(海洋智能装备)）	584	34723	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	电子信息工程（中外合作办学）（与美国休斯顿大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；请非英语语种的考生慎重报考）（中外合作办学）	574	44054	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	机械设计制造及其自动化（中外合作办学）（与美国休斯顿大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；请非英语语种的考生慎重报考）（中外合作办学）	572	46090	437
2022	广东	大连海事大学	本科批	首选物理，再选不限	土木工程（中外合作办学）（与美国休斯顿大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；请非英语语种的考生慎重报考）（中外合作办学）	571	47104	437
2022	广东	哈尔滨工业大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	哈尔滨工业大学	本科批	首选物理，再选不限	工科试验班（英才本硕博连读）（080102.工程力学+082002.飞行器设计与工程+080702.电子科学与技术+080704.微电子科学与工程+080801.自动化+080803.机器人工程+080806.智能装备与系统+080601.电气工程及其自动化+080701.电子信息工程+080703.通信工程+080901.计算机科学与技术+080910.数据科学与大数据技术+080717.人工智能+080202.机械设计制造及其自动化+080401.材料科学与工程+080411.焊接技术与工程+080501.能源与动力工程+0805）（具体培养模式和学习费用请查看学校网站）	651	2045	437
2022	广东	哈尔滨工业大学	本科批	首选物理，再选不限	工科试验班（计算机与电子通信）（080703.通信工程+080712.电磁场与无线技术+080701.电子信息工程+081202.遥感科学与技术+082107.信息对抗技术+080901.计算机科学与技术+080904.信息安全+080905.物联网工程+080717.人工智能+080910.数据科学与大数据技术+080902.软件工程+080720.智能测控工程+080911.网络空间安全）	644	3152	437
2022	广东	哈尔滨工业大学	本科批	首选物理，再选不限	工科试验班（智慧人居）（082801.建筑学+082802.城乡规划+082803.风景园林+082807.智慧建筑与建造+081002.建筑环境与能源应用工程）	643	3353	437
2022	广东	哈尔滨工业大学	本科批	首选物理，再选不限	工科试验班（智能装备）（080202.机械设计制造及其自动化+080204.机械电子工程+082003.飞行器制造工程+120701.工业工程+080803.机器人工程+080401.材料科学与工程+080402.材料物理+080203.材料成型及控制工程+080411.焊接技术与工程+080709.电子封装技术+080501.能源与动力工程+082004.飞行器动力工程+080503.新能源科学与工程+080302.精密仪器+080303.智能感知工程+080301.测控技术与仪器+080217.增材制造工程+080418.光）	642	3579	437
2022	广东	哈尔滨工业大学	本科批	首选物理，再选不限	工科试验班（航天与自动化）（080408.复合材料与工程+082002.飞行器设计与工程+082005.飞行器环境与生命保障工程+070802.空间科学与技术+080705.光电信息科学与工程(光学工程)+080702.电子科学与技术+080704.微电子科学与工程+080801.自动化+082103.探测制导与控制技术+080806.智能装备与系统+080601.电气工程及其自动化+081004.建筑电气与智能化+080417.智能材料与结构）	642	3579	437
2022	广东	哈尔滨工业大学	本科批	首选物理，再选不限	工业设计（中外合作办学）（“4+0”培养模式，与瑞士苏黎世艺术大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；学生入学后不得申请转专业）（中外合作办学）	613	14015	437
2022	广东	哈尔滨工业大学	本科批	首选物理，再选不限	数学与应用数学（中外合作办学）（“4+0”培养模式，与俄罗斯圣彼得堡国立大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；学生入学后不得申请转专业）（中外合作办学）	613	14015	437
2022	广东	哈尔滨工业大学	本科批	首选物理，再选不限	应用物理学（中外合作办学）（“4+0”培养模式，与俄罗斯圣彼得堡国立大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；学生入学后不得申请转专业）（中外合作办学）	609	16235	437
2022	广东		本科批	首选物理，再选化学	化学（中外合作办学）（“4+0”培养模式，与俄罗斯圣彼得堡国立大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；学生入学后不得申请转专业）（中外合作办学）	599	22773	437
2022	广东	云南大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	云南大学	本科批	首选物理，再选化学、生物(2科必选)	临床医学	602	20041	437
2022	广东	云南大学	本科批	首选物理，再选不限	物理学	601	20687	437
2022	广东	云南大学	本科批	首选物理，再选不限	计算机类（信息学院）	598	22774	437
2022	广东	云南大学	本科批	首选物理，再选不限	数理基础科学（国家数理基地班）	597	23542	437
2022	广东	云南大学	本科批	首选物理，再选不限	法学	596	24265	437
2022	广东	云南大学	本科批	首选物理，再选不限	统计学	595	25007	437
2022	广东	云南大学	本科批	首选物理，再选不限	电子信息类（物理与天文学院）	595	25007	437
2022	广东	云南大学	本科批	首选物理，再选不限	计算机类（软件学院）	595	25007	437
2022	广东	云南大学	本科批	首选物理，再选化学/生物(2选1)	生物科学（国家生物学基地班）	594	25718	437
2022	广东	云南大学	本科批	首选物理，再选不限	地球物理学	594	25718	437
2022	广东	云南大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	云南大学	本科批	首选物理，再选化学/生物(2选1)	生物科学（国家生物学基地班）	594	25718	437
2022	广东	云南大学	本科批	首选物理，再选不限	地球物理学	594	25718	437
2022	广东	云南大学	本科批	首选物理，再选不限	城乡规划	593	26493	437
2022	广东	云南大学	本科批	首选物理，再选不限	数学与应用数学	592	27247	437
2022	广东	云南大学	本科批	首选物理，再选不限	经济学类	590	28818	437
2022	广东	云南大学	本科批	首选物理，再选不限	孟加拉语	589	29635	437
2022	广东	云南大学	本科批	首选物理，再选不限	建筑学	589	29635	437
2022	广东	云南大学	本科批	首选物理，再选化学	化学类	589	29635	437
2022	广东	云南大学	本科批	首选物理，再选不限	工商管理类	589	29635	437
2022	广东	云南大学	本科批	首选物理，再选不限	僧伽罗语	588	30450	437
2022	广东	云南大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	云南大学	本科批	首选物理，再选化学	材料科学与工程	586	32106	437
2022	广东	云南大学	本科批	首选物理，再选不限	土木工程（中外合作办学）（中外合作办学）	572	45067	437
2022	广东	长安大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	长安大学	本科批	首选物理，再选化学	工科试验班（081006.道路桥梁与渡河工程+081802.交通工程+081801.交通运输+080207.车辆工程+120602.物流工程）（主校区）	597	24264	437
2022	广东	长安大学	本科批	首选物理，再选不限	电子信息类（080701.电子信息工程+080703.通信工程）（主校区）	593	27246	437
2022	广东	长安大学	本科批	首选物理，再选不限	人工智能（主校区）	593	27246	437
2022	广东	长安大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080902.软件工程+080905.物联网工程）（主校区）	593	27246	437
2022	广东	长安大学	本科批	首选物理，再选化学	道路桥梁与渡河工程（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学+070102.信息与计算科学）（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选不限	大数据管理与应用（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选化学	能源与动力工程（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选不限	经济学类（020102.经济统计学+020401.国际经济与贸易）（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选不限	新能源科学与工程（主校区）	591	28817	437
2022	广东	长安大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	长安大学	本科批	首选物理，再选化学	工科试验班（081006.道路桥梁与渡河工程+081802.交通工程+081801.交通运输+080207.车辆工程+120602.物流工程）（主校区）	597	24264	437
2022	广东	长安大学	本科批	首选物理，再选不限	电子信息类（080701.电子信息工程+080703.通信工程）（主校区）	593	27246	437
2022	广东	长安大学	本科批	首选物理，再选不限	人工智能（主校区）	593	27246	437
2022	广东	长安大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080902.软件工程+080905.物联网工程）（主校区）	593	27246	437
2022	广东	长安大学	本科批	首选物理，再选化学	道路桥梁与渡河工程（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学+070102.信息与计算科学）（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选不限	大数据管理与应用（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选化学	能源与动力工程（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选不限	经济学类（020102.经济统计学+020401.国际经济与贸易）（主校区）	592	28043	437
2022	广东	长安大学	本科批	首选物理，再选不限	新能源科学与工程（主校区）	591	28817	437
2022	广东	西北大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	西北大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080905.物联网工程+080902.软件工程）（长安校区）	603	20040	437
2022	广东	西北大学	本科批	首选物理，再选不限	电子信息类（080703.通信工程+080701.电子信息工程+080702.电子科学与技术+080704.微电子科学与工程+080907.智能科学与技术）（长安校区）	601	21338	437
2022	广东	西北大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学+070102.信息与计算科学+071202.应用统计学）（长安校区）	601	21338	437
2022	广东		本科批	首选物理，再选不限	文物保护技术（中外合作办学）（与意大利萨兰托大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（长安校区）（中外合作办学）	581	37386	437
2022	广东	北京交通大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	理科试验班类（詹天佑本博直升试点班）（080703.通信工程+080802.轨道交通信号与控制+080901.计算机科学与技术+080717.人工智能+080904.信息安全+020101.经济学+120601.物流管理+081801.交通运输+081802.交通工程+120801.电子商务+120602.物流工程+070205.系统科学与工程+081001.土木工程+080201.机械工程+080601.电气工程及其自动化+080902.软件工程+070202.应用物理学+080102.工程力学+070101.数学与应用数学）（詹天佑“3+5”本博贯通拔尖创新人才培养特区，本科阶段类内专业任选）	621	10208	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080901.计算机科学与技术(铁路信息技术)+080905.物联网工程+080904.信息安全+080914.保密技术+080717.人工智能）	619	11055	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	电子信息类（通信与控制）（080703.通信工程+080802.轨道交通信号与控制+080801.自动化+080702.电子科学与技术+080706.信息工程+080806.智能装备与系统）	616	12453	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	交通运输类（081801.交通运输(铁道运输)+081801.交通运输(城市轨道交通)+081801.交通运输(高速铁路客运组织与服务)+081801.交通运输(民航运输)+081802.交通工程+081812.智能运输工程+120602.物流工程+120801.电子商务）	615	12968	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	经济管理试验班（020101.经济学+020301.金融学+120203.会计学+120204.财务管理+120201.工商管理+120103.工程管理+120601.物流管理+120102.信息管理与信息系统+120106.保密管理）	614	13481	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	建筑类（建筑与规划）（082801.建筑学+082802.城乡规划）	613	14015	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	理科试验班（数学与统计）（070102.信息与计算科学+071201.统计学）	613	14015	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	软件工程（第三、四学年学费16000元/学年）	613	14015	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	电气类（080601.电气工程及其自动化+080601.电气工程及其自动化(轨道牵引电气化)+080601.电气工程及其自动化(新能源国际班)）	612	14543	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	理科试验班（智能光电与纳米技术）（080705.光电信息科学与工程+080413.纳米材料与技术(智能材料)+070202.应用物理学(黄昆英才班)）	612	14543	437
2022	广东	北京交通大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	电气类（080601.电气工程及其自动化+080601.电气工程及其自动化(轨道牵引电气化)+080601.电气工程及其自动化(新能源国际班)）	612	14543	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	机械电子工程（中外合作办学）（与澳大利亚伍伦贡大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	606	18092	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	纳米材料与技术（中外合作办学）（与加拿大滑铁卢大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	605	18724	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	计算机科学与技术（中外合作办学）（威海校区）（全英授课，要求较高的英语基础；与英国兰卡斯特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	597	24264	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	通信工程（中外合作办学）（威海校区）（全英授课，要求较高的英语基础；与英国兰卡斯特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	593	27246	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	信息管理与信息系统（中外合作办学）（威海校区）（全英授课，要求较高的英语基础；与美国罗切斯特理工学院中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	593	27246	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	会计学（中外合作办学）（威海校区）（全英授课，要求较高的英语基础；与英国兰卡斯特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	592	28043	437
2022	广东	北京交通大学	本科批	首选物理，再选不限	环境工程（中外合作办学）（威海校区）（全英授课，要求较高的英语基础；与英国兰卡斯特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	579	39198	437
2022	广东	北京外国语大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	北京外国语大学	本科批	首选物理，再选思想政治	外交学	632	6136	437
2022	广东	北京外国语大学	本科批	首选物理，再选不限	英语（国际商学院；与中央财经大学金融学专业联合培养项目）（英语）	622	9755	437
2022	广东	北京外国语大学	本科批	首选物理，再选不限	德语	622	9755	437
2022	广东	北京外国语大学	本科批	首选物理，再选不限	金融学	618	11488	437
2022	广东	北京外国语大学	本科批	首选物理，再选不限	国际经济与贸易	618	11488	437
2022	广东	北京外国语大学	本科批	首选物理，再选不限	工商管理类（120201.工商管理+120203.会计学+120204.财务管理+120801.电子商务+120205.国际商务）	616	12453	437
2022	广东	北京外国语大学	本科批	首选物理，再选不限	英语（英语）	615	12968	437
2022	广东	北京外国语大学	本科批	首选物理，再选不限	计算机科学与技术	614	13481	437
2022	广东	北京外国语大学	本科批	首选物理，再选不限	信息管理与信息系统	614	13481	437
2022	广东		本科批	首选物理，再选不限	日语	614	13481	437
2022	广东		录取批次		专业名称	最低分	最低位次	437
2022	广东		-		-	-		437
2022	广东	河北工业大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	电气工程及其自动化（含卓越工程师班）（天津校区）	595	25717	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	英语（全英授课，请非英语语种的考生慎重报考）（天津校区）	594	26492	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080905.物联网工程+080902.软件工程）（天津校区）	593	27246	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	自动化（天津校区）	592	28043	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	人工智能（天津校区）	591	28817	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	通信工程（天津校区）	591	28817	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	金融学（天津校区）	590	29634	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	应用物理学（天津校区）	590	29634	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	法语（天津校区）	589	30449	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	海洋技术（天津校区）	589	30449	437
2022	广东	河北工业大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	河北工业大学	本科批	首选物理，再选不限	海洋技术（天津校区）	589	30449	437
2022	广东	武汉大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	武汉大学	本科批	首选物理，再选化学	理科试验班（弘毅学堂）（070101.数学与应用数学+070201.物理学+070301.化学+071001.生物科学+070501.地理科学）（基础学科拔尖学生培养计划2.0基地）	657	1319	437
2022	广东	武汉大学	本科批	首选物理，再选不限	工科试验班（弘毅学堂）（0809.计算机类+080213.智能制造工程+081008.智能建造）（含计算机类、智能制造工程、智能建造、微电子科学与工程(集成电路);含基础学科拔尖学生培养计划2.0基地）	657	1319	437
2022	广东	武汉大学	本科批	首选物理，再选不限	金融学类（020101.经济学+020301.金融学）（弘毅学堂数理经济与数理金融试验班，含基础学科拔尖学生培养计划2.0基地）	657	1319	437
2022	广东	武汉大学	本科批	首选物理，再选不限	法学（含国际法试验班）（含卓越法学人才教育培养计划）	657	1319	437
2022	广东	武汉大学	本科批	首选物理，再选化学	口腔医学（八年一贯制）	655	1526	437
2022	广东	武汉大学	本科批	首选物理，再选化学	生物科学类（071001.生物科学+071002.生物技术）（含生物国家拔尖学生培养基地）	654	1648	437
2022	广东	武汉大学	本科批	首选物理，再选不限	经济学类（020101.经济学+020302.金融工程+020401.国际经济与贸易+020201.财政学+020301.金融学(含国际金融试验班)+020303.保险学(含精算试验班)）（含经济学国家拔尖学生培养基地）	651	2045	437
2022	广东	武汉大学	本科批	首选物理，再选化学	临床医学（八年一贯制）（本博融通;首批卓越医生教育培养计划）	651	2045	437
2022	广东	武汉大学	本科批	首选物理，再选不限	计算机类（计算机学院）（080901.计算机科学与技术+080717.人工智能+080902.软件工程）（含计算机科学拔尖学生培养基地，含卓越工程师教育培养计划）	651	2045	437
2022	广东	武汉大学	本科批	首选物理，再选不限	计算机类（国家网络安全学院）（080904.信息安全+080911.网络空间安全）	650	2211	437
2022	广东	武汉大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	武汉大学	本科批	首选物理，再选化学	数学类（070101.数学与应用数学+070102.信息与计算科学+071201.统计学+080910.数据科学与大数据技术）（含数学国家拔尖学生培养基地）	650	2211	437
2022	广东	武汉大学	本科批	首选物理，再选不限	国际经济与贸易（弘毅学堂数字贸易与金融试验班）	649	2353	437
2022	广东	武汉大学	本科批	首选物理，再选不限	新闻传播学类（050301.新闻学+050302.广播电视学+050303.广告学+050304.传播学）（含卓越新闻传播人才教育培养计划）	648	2482	437
2022	广东	武汉大学	本科批	首选物理，再选化学	化学类（070301.化学+070302.应用化学）（含化学国家拔尖学生培养基地；因用人单位可能对考生身体素质有要求，请嗅觉迟钝者的考生慎重报考）	648	2482	437
2022	广东	武汉大学	本科批	首选物理，再选不限	工商管理类（120103.工程管理+120601.物流管理(供应链运营试验班)+120201.工商管理+120202.市场营销+120203.会计学+120204.财务管理+120206.人力资源管理+120101.管理科学）	647	2638	437
2022	广东	武汉大学	本科批	首选物理，再选化学	物理学类（070201.物理学+080704.微电子科学与工程）（含物理学国家拔尖学生培养基地）	646	2811	437
2022	广东	武汉大学	本科批	首选物理，再选化学	药学类（100701.药学+083002.生物制药）	646	2811	437
2022	广东	武汉大学	本科批	首选物理，再选不限	测绘类（081201.测绘工程+081203.导航工程）（含卓越工程师教育培养计划；因用人单位可能对考生身体素质有要求，请色弱、色盲、肢体残疾者的考生慎重报考）	646	2811	437
2022	广东	武汉大学	本科批	首选物理，再选化学	理科试验班（空间信息与资源环境类）（070504.地理信息科学+082503.环境科学+070501.地理科学+120404.土地资源管理+082502.环境工程）（含地理科学国家拔尖学生培养基地、卓越工程师教育培养计划）	645	2955	437
2022	广东	武汉大学	本科批	首选物理，再选不限	工科试验班（080601.电气工程及其自动化）（电气类卓越工程师培养计划；因用人单位可能对考生身体素质有要求，请色弱、色盲、肢体残疾者的考生慎重报考）	645	2955	437
2022	广东	武汉大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	武汉大学	本科批	首选物理，再选不限	工科试验班（080601.电气工程及其自动化）（电气类卓越工程师培养计划；因用人单位可能对考生身体素质有要求，请色弱、色盲、肢体残疾者的考生慎重报考）	645	2955	437
2022	广东	武汉大学	本科批	首选物理，再选不限	信息管理与信息系统（含大数据管理与应用、信息管理与信息系统、电子商务、图书馆学、档案学、编辑出版学）	645	2955	437
2022	广东	武汉大学	本科批	首选物理，再选不限	电子信息类（080701.电子信息工程+080703.通信工程+080713.电波传播与天线+080714.电子信息科学与技术+080301.测控技术与仪器+080705.光电信息科学与工程）（含卓越工程师教育培养计划）	644	3152	437
2022	广东	武汉大学	本科批	首选物理，再选不限	地球物理学（含国家拔尖学生培养基地；因用人单位可能对考生身体素质有要求，请色弱、色盲、肢体残疾者的考生慎重报考）	644	3152	437
